code,name,strategy_industry,leader_score,industry_rank,price,float_cap,avg_turnover_60d,revenue,roe,em2016
601919,中远海控,交通运输,78.64,1,17.07,214340000000.0,1391571508.0,51796875575.87,2.51,交通运输-港口航运-航运
601872,招商轮船,交通运输,73.18,2,18.83,152044000000.0,2154053294.6666665,8556013852.97,6.28,交通运输-港口航运-航运
002352,顺丰控股,交通运输,67.73,3,32.92,157987000000.0,736835001.0833334,74142121000.0,2.52,交通运输-物流-物流
601816,京沪高铁,交通运输,64.09,4,4.87,238267999999.99997,858393069.6083333,10559383280.69,1.51,交通运输-公路铁路-铁路运输
600026,中远海能,交通运输,56.82,5,19.04,72885000000.0,1341525087.8833334,7303414755.4,4.5762,交通运输-港口航运-航运
600900,长江电力,公用环保,79.5,1,28.21,690248000000.0,3477577174.4,18111540767.5,3.01,公用事业-电力-水电
600011,华能国际,公用环保,69.0,2,6.69,73575000000.0,1214977970.1666667,106909025871.0,8.13,公用事业-电力-火电
601985,中国核电,公用环保,65.5,3,8.84,166928000000.0,1031965139.3,18924861299.78,1.73,公用事业-电力-新能源发电
600795,国电电力,公用环保,63.5,4,5.14,91675000000.0,766717025.3183333,79029113601.09,4.934,公用事业-电力-火电
600025,华能水电,公用环保,53.0,5,9.79,182398000000.0,317920866.69166666,13147380567.23,5.91,公用事业-电力-水电
603259,药明康德,医药生物,96.0,1,161.0,398198000000.0,8525582929.583333,28897478718.36,13.19,医药生物-化学制药-化学制剂
600276,恒瑞医药,医药生物,86.0,2,46.49,296560000000.0,5013338247.916667,15455583728.11,8.04,医药生物-化学制药-化学制剂
300760,迈瑞医疗,医药生物,70.0,3,162.12,196273000000.0,1534134885.2666667,8352015912.0,5.96,医药生物-医疗器械-医疗器械
688271,联影医疗,医药生物,67.67,4,106.77,87995000000.0,76812677244.61667,7051579098.09,4.12,医药生物-医疗器械-医疗器械
002001,新 和 成,医药生物,67.67,5,26.32,79930000000.0,1111422557.5333333,13129300260.89,11.39,医药生物-保健护理-保健护理产品
002714,牧原股份,可选消费,84.38,1,39.93,130990000000.00002,2303240192.2833333,59410306384.59,-7.48,农林牧渔-畜牧业-养殖
601888,中国中免,可选消费,75.62,2,52.61,102720000000.0,2120431695.9166667,27655202065.43,5.46,商贸零售-零售-百货
300498,温氏股份,可选消费,60.0,3,14.14,84075000000.0,739076922.965,46764965640.08,-11.13,农林牧渔-畜牧业-养殖
002311,海大集团,可选消费,58.75,4,45.0,74432000000.0,474267483.31666666,64239967963.3,6.47,农林牧渔-畜牧业-饲料
600415,小商品城,可选消费,57.5,5,12.17,66735000000.0,952872071.45,10281542979.96,8.28,商贸零售-贸易-贸易
600150,中国船舶,国防军工,94.38,1,33.84,254667000000.0,3382225102.2,43312405150.04,3.3,国防与装备-船舶与海洋装备-船舶制造
600893,航发动力,国防军工,66.25,2,36.28,96691000000.0,1247528499.6166666,20754568567.75,0.36,国防与装备-航空航天装备-航天装备
