code,name,strategy_industry,leader_score,price,avg_turnover_60d_yi
000063,中兴通讯,通信,64.0,33.42,76.3
000333,美的集团,家用电器,100.0,86.69,28.6
000338,潍柴动力,汽车,75.45,27.02,30.69
000425,徐工机械,机械设备,54.29,8.02,11.21
000568,泸州老窖,食品饮料,51.0,84.73,11.03
000651,格力电器,家用电器,40.0,41.62,19.02
000657,中钨高新,有色金属,72.5,63.81,68.91
000792,盐湖股份,基础化工,62.22,27.45,24.32
000858,五 粮 液,食品饮料,80.5,71.52,25.45
000938,紫光股份,计算机,79.21,35.1,96.72
000977,浪潮信息,计算机,78.95,74.11,74.61
002001,新 和 成,医药生物,67.67,26.32,11.11
002028,思源电气,电力设备,59.71,169.6,20.64
002050,三花智控,机械设备,65.0,35.95,41.52
002311,海大集团,可选消费,58.75,45.0,4.74
002352,顺丰控股,交通运输,67.73,32.92,7.37
002415,海康威视,计算机,86.58,34.75,32.01
002475,立讯精密,电子,75.38,54.86,103.17
002493,荣盛石化,石油石化,50.83,13.22,7.48
002594,比亚迪,汽车,86.36,91.36,37.64
002714,牧原股份,可选消费,84.38,39.93,23.03
300014,亿纬锂能,电力设备,77.94,54.57,35.03
300059,东方财富,计算机,82.89,18.93,71.25
300124,汇川技术,机械设备,67.14,61.39,24.03
300274,阳光电源,电力设备,74.12,109.59,83.9
300308,中际旭创,通信,92.0,846.0,382.31
300498,温氏股份,可选消费,60.0,14.14,7.39
300502,新易盛,通信,82.0,400.87,256.05
300750,宁德时代,电力设备,94.71,376.73,126.68
300760,迈瑞医疗,医药生物,70.0,162.12,15.34
600011,华能国际,公用环保,69.0,6.69,12.15
600019,宝钢股份,煤炭钢铁,20.0,5.85,6.04
600025,华能水电,公用环保,53.0,9.79,3.18
600026,中远海能,交通运输,56.82,19.04,13.42
600028,中国石化,石油石化,66.67,5.36,13.64
600030,中信证券,非银金融,91.52,27.15,48.49
600031,三一重工,机械设备,67.14,18.95,17.07
600036,招商银行,银行,86.59,39.5,34.66
600089,特变电工,电力设备,66.18,19.0,25.59
600104,上汽集团,汽车,49.09,10.31,6.0
600111,北方稀土,有色金属,73.06,39.85,40.49
600118,中国卫星,国防军工,53.75,60.24,36.98
600150,中国船舶,国防军工,94.38,33.84,33.82
600160,巨化股份,基础化工,61.67,37.92,32.69
600176,中国巨石,基础化工,70.56,39.79,107.96
600188,兖矿能源,煤炭钢铁,38.75,21.71,13.57
600276,恒瑞医药,医药生物,86.0,46.49,50.13
600309,万华化学,基础化工,83.33,72.87,28.91
600346,恒力石化,石油石化,52.5,18.3,8.13
600415,小商品城,可选消费,57.5,12.17,9.53
600482,中国动力,国防军工,58.12,31.85,10.75
600519,贵州茅台,食品饮料,98.5,1304.0,56.17
600522,中天科技,通信,49.0,33.89,124.11
600549,厦门钨业,有色金属,65.83,52.39,52.97
600585,海螺水泥,建筑材料,100.0,17.6,5.35
600660,福耀玻璃,汽车,54.09,57.67,7.36
600690,海尔智家,家用电器,10.0,21.23,9.54
600760,中航沈飞,国防军工,52.5,44.32,7.22
600795,国电电力,公用环保,63.5,5.14,7.67
600809,山西汾酒,食品饮料,68.0,116.66,12.14
600887,伊利股份,食品饮料,75.5,25.9,15.76
600893,航发动力,国防军工,66.25,36.28,12.48
600900,长江电力,公用环保,79.5,28.21,34.78
600938,中国海油,石油石化,54.17,33.51,18.17
600989,宝丰能源,基础化工,76.67,23.24,19.23
600999,招商证券,非银金融,73.91,17.66,18.84
601088,中国神华,煤炭钢铁,78.75,47.17,17.79
601100,恒立液压,机械设备,50.0,100.74,9.75
601117,中国化学,建筑装饰,30.0,7.52,6.75
601138,工业富联,电子,82.38,60.15,117.01
601211,国泰海通,非银金融,84.35,17.31,23.07
601225,陕西煤业,煤炭钢铁,57.5,26.52,12.39
601288,农业银行,银行,87.27,6.85,27.34
601318,中国平安,非银金融,97.17,55.01,46.81
601390,中国中铁,建筑装饰,41.67,4.38,5.22
601398,工商银行,银行,84.77,7.9,31.07
601628,中国人寿,非银金融,79.35,37.6,15.38
601668,中国建筑,建筑装饰,100.0,4.47,10.15
601669,中国电建,建筑装饰,28.33,4.65,6.25
601728,中国电信,通信,59.5,6.45,9.04
601766,中国中车,汽车,75.45,6.13,10.56
601816,京沪高铁,交通运输,64.09,4.87,8.58
601857,中国石油,石油石化,71.67,11.19,17.78
601872,招商轮船,交通运输,73.18,18.83,21.54
601888,中国中免,可选消费,75.62,52.61,21.2
601898,中煤能源,煤炭钢铁,55.0,15.08,7.67
601899,紫金矿业,有色金属,98.89,33.68,94.58
601919,中远海控,交通运输,78.64,17.07,13.92
601985,中国核电,公用环保,65.5,8.84,10.32
603259,药明康德,医药生物,96.0,161.0,85.26
603993,洛阳钼业,有色金属,90.83,18.42,56.47
688012,中微公司,电子,78.25,354.0,10826.09
688041,海光信息,电子,79.38,232.06,10045.19
688111,金山办公,计算机,80.0,234.75,2505.18
688256,寒武纪,电子,84.38,1010.48,17414.02
688271,联影医疗,医药生物,67.67,106.77,768.13
