rank,code,name,score,valuation_tier,dividend_yield,roe,pe,pb,debt_ratio,market_cap_yi,industry_level1,is_soe,org_form
1,601919,中远海控,86.09,超级低估,9.36,13.17,10.35527871,1.10062315,41.4157469326,2594.05,交通运输,True,央企子公司
2,601717,中创智领,85.36,超级低估,8.21,18.88,6.63738215,1.08547805,51.4834317653,271.92,机械设备,False,其他企业
3,600023,浙能电力,78.82,低估,6.87,10.1,8.96835049,0.86014852,42.5144189381,663.73,公用事业,True,地方国有企业
4,600011,华能国际,76.82,低估,5.94,19.04,9.00405549,1.63782173,65.2628937599,1056.48,公用事业,True,央企子公司
5,600873,梅花生物,73.82,低估,5.44,21.48,10.14781032,1.40830211,36.9208786194,220.69,基础化工,False,大型民企
6,002867,周大生,71.45,超级低估,8.04,17.16,12.67308196,1.95404475,22.0809935176,121.57,纺织服饰,False,大型民企
7,600461,洪城环境,70.27,低估,5.17,12.44,9.8577806,1.17137157,55.4310609096,116.09,环保,True,地方国有企业
8,600729,重百集团,69.73,低估,6.99,13.6,11.95748371,1.08040685,59.8595209503,85.84,商贸零售,False,大型民企
9,600757,长江传媒,69.55,低估,5.31,10.44,9.87856901,0.93802786,29.0425974,93.69,传媒,True,地方国有企业
10,603565,中谷物流,69.27,超级低估,9.57,18.7,13.51503081,2.43565732,57.9200497927,267.76,交通运输,False,大型民企
11,601216,君正集团,67.36,超级低估,8.21,11.78,12.74911514,1.42229091,28.5940591741,390.68,基础化工,False,大型民企
12,600027,华电国际,66.73,合理偏低,4.95,11.81,9.19354393,1.08002303,61.3639506206,539.95,公用事业,True,央企子公司
13,600566,济川药业,66.55,超级低估,8.35,12.28,13.27456716,1.53892468,17.3308185932,230.67,医药生物,False,大型民企
14,600219,南山铝业,65.82,超级低估,8.3,9.25,12.72884563,1.11261837,19.2784450304,554.66,有色金属,False,集体企业
15,600096,云天化,65.82,低估,5.29,21.87,10.34767834,2.16923898,47.1718889221,551.09,基础化工,True,地方国有企业
16,603833,欧派家居,65.73,超级低估,7.6,10.56,10.72729389,1.06905559,46.7491722351,197.77,轻工制造,False,大型民企
17,002532,天山铝业,64.91,低估,5.08,17.0,8.57283699,1.8451952,45.4044761126,592.48,有色金属,False,大型民企
18,600642,申能股份,64.82,低估,5.46,10.79,10.88423833,1.08263875,54.7705837102,412.57,公用事业,True,地方国有企业
19,600282,南钢股份,64.09,低估,5.1,10.69,10.83125908,1.06084216,58.0710444793,295.31,钢铁,True,央企子公司
20,601098,中南传媒,63.82,低估,5.56,10.09,11.77283142,1.09122137,35.6788307877,177.8,传媒,True,地方国有企业
21,600098,广州发展,63.45,低估,5.85,8.6069,9.22230701,0.79746074,63.3931594774,221.57,公用事业,True,地方国有企业
22,600803,新奥股份,63.45,低估,5.68,19.35,12.38110959,2.23089311,53.2116660987,539.8,公用事业,False,大型民企
23,600690,海尔智家,62.45,低估,5.84,16.98,10.59616564,1.58431558,57.4107161708,1983.37,家用电器,False,集体企业
24,601088,中国神华,62.09,低估,6.86,12.76,19.87788053,2.13150011,23.3066405846,10250.43,煤炭,True,央企子公司
25,601928,凤凰传媒,61.64,低估,6.97,9.12,12.80335993,1.09474107,33.9251749277,219.12,传媒,True,央企子公司
26,600398,海澜之家,58.82,低估,6.82,12.31,13.24011743,1.49874039,45.4858792458,288.65,纺织服饰,False,大型民企
27,000708,中信特钢,58.73,低估,5.03,14.08,11.59474694,1.61847659,58.7812687029,709.63,钢铁,True,央企子公司
28,600273,嘉化能源,57.45,低估,6.05,9.66,13.84555162,0.86966607,23.6209584799,86.68,基础化工,False,大型民企
29,000596,古井贡酒,57.0,低估,6.51,14.28,17.2413189,1.86519105,31.6596151254,487.26,食品饮料,True,地方国有企业
30,600582,天地科技,56.64,低估,6.47,9.82,14.04966421,0.77847818,46.1542617418,202.79,机械设备,True,央企子公司
31,002508,老板电器,55.0,低估,6.06,10.64,12.75377952,1.32058516,32.7530706266,155.91,家用电器,False,大型民企
32,000786,北新建材,55.0,合理偏低,4.91,11.11,12.75072892,1.09654932,21.598410049,299.93,建筑材料,True,央企子公司
33,603816,顾家家居,54.55,低估,5.47,17.68,13.22673541,2.10874017,42.7465409524,233.75,轻工制造,False,大型民企
34,600483,福能股份,53.82,不达标,3.9,11.27,10.25805185,1.09712665,41.8152032045,302.48,公用事业,True,地方国有企业
35,600064,南京高科,53.64,合理偏低,4.12,9.67,7.87546537,0.67483615,47.6514671491,134.27,房地产,True,地方国有企业
36,601598,中国外运,53.0,合理偏低,4.52,9.92,12.3282785,1.13373893,43.783476298,468.45,交通运输,True,央企子公司
37,000157,中联重科,51.91,超级低估,7.06,8.34,14.13324652,1.0499042,55.0305872854,612.32,机械设备,True,地方国有企业
38,001286,陕西能源,51.55,合理偏低,4.31,11.82,11.7940311,1.34350242,54.5301485587,356.62,公用事业,True,地方国有企业
39,000513,丽珠集团,51.27,低估,5.43,14.67,13.96800373,1.74979643,35.1811775084,233.87,医药生物,False,大型民企
40,601857,中国石油,50.91,合理偏低,4.27,10.1,12.73871546,1.24039475,36.0642272385,20150.61,石油石化,True,央企子公司
41,601000,唐山港,49.64,合理偏低,4.36,9.5,13.02790539,1.2757121,9.013308009,272.0,交通运输,True,地方国有企业
42,000999,华润三九,49.09,合理偏低,4.11,16.07,12.41867932,1.78219002,34.5764640062,406.9,医药生物,True,央企子公司
43,002318,久立特材,48.82,低估,5.1,19.04,17.81588279,2.38505594,36.2827003021,191.43,钢铁,False,大型民企
44,600295,鄂尔多斯,46.27,低估,5.14,11.06,14.90581812,1.69707772,41.6665437565,381.47,钢铁,False,大型民企
45,603369,今世缘,43.55,合理偏低,4.27,16.39,14.26121777,2.0431002,36.049310442,350.35,食品饮料,True,地方国有企业
46,600600,青岛啤酒,42.64,合理偏低,4.56,15.5,15.03157269,2.24266832,39.5525851457,703.11,食品饮料,True,地方国有企业
47,600863,华能蒙电,41.45,合理偏低,4.67,12.25,16.282219,1.76510291,52.7299097188,369.04,公用事业,True,央企子公司
48,000088,盐 田 港,40.27,合理偏低,4.76,8.02,15.97298938,1.31572578,17.8271357807,238.14,交通运输,True,地方国有企业
49,600012,皖通高速,40.0,合理偏低,4.03,14.01,15.03382616,2.09653185,53.2856130545,280.04,交通运输,True,地方国有企业
50,301109,军信股份,39.91,合理偏低,4.96,9.4,13.96563014,1.40043027,34.5338474554,103.92,环保,False,大型民企
51,601001,晋控煤业,33.82,合理偏低,4.16,9.65,18.30374915,1.55226962,23.1718985128,303.44,煤炭,True,地方国有企业
52,603899,晨光股份,33.27,合理偏低,4.38,14.56,15.7281113,2.17056329,45.3553759873,209.08,轻工制造,False,大型民企
53,600886,国投电力,31.27,不达标,3.62,11.35,15.12992421,1.62946993,60.5241320532,1124.63,公用事业,True,央企子公司
54,600900,长江电力,30.55,不达标,3.54,15.9,19.14979034,3.03190597,58.2694597691,6909.82,公用事业,True,央企子公司
55,603345,安井食品,26.55,合理偏低,4.39,9.61,17.09635246,1.62531626,23.4178109761,257.37,食品饮料,False,大型民企
56,002984,森麒麟,25.73,合理偏低,4.14,8.41,16.9254658,1.09229007,24.9374402241,147.77,汽车,False,大型民企
