rank,code,name,score,valuation_tier,dividend_yield,roe,pe,pb,debt_ratio,market_cap_yi,industry_level1,is_soe,org_form
50,000088,盐 田 港,39.04,合理偏低,4.76,8.02,16.45,1.32,17.8271357807,238.14,交通运输,True,地方国有企业
35,000157,中联重科,54.3,超级低估,7.06,8.34,12.6,1.05,55.0305872854,612.32,机械设备,True,地方国有企业
29,000513,丽珠集团,57.98,低估,5.43,14.67,11.56,1.75,35.1811775084,233.87,医药生物,False,大型民企
27,000596,古井贡酒,60.7,低估,6.51,14.28,13.73,1.87,31.6596151254,487.26,食品饮料,True,地方国有企业
31,000708,中信特钢,55.88,低估,5.03,14.08,11.97,1.62,58.7812687029,709.63,钢铁,True,央企子公司
28,000786,北新建材,59.3,合理偏低,4.91,11.11,10.32,1.1,21.598410049,299.93,建筑材料,True,央企子公司
43,000999,华润三九,47.54,合理偏低,4.11,16.07,11.89,1.78,34.5764640062,406.9,医药生物,True,央企子公司
41,001286,陕西能源,49.74,合理偏低,4.31,11.82,11.85,1.34,54.5301485587,356.62,公用事业,True,地方国有企业
56,002299,圣农发展,29.74,合理偏低,4.21,12.59,14.98,1.8,51.6551617214,206.8,农林牧渔,False,大型民企
32,002318,久立特材,55.61,低估,5.1,19.04,12.68,2.39,36.2827003021,191.43,钢铁,False,大型民企
34,002508,老板电器,54.82,低估,6.06,10.64,12.41,1.32,32.7530706266,155.91,家用电器,False,大型民企
33,002532,天山铝业,54.91,低估,5.08,17.0,12.3,1.85,45.4044761126,592.48,有色金属,False,大型民企
7,002867,周大生,72.63,超级低估,8.04,17.16,11.02,1.95,22.0809935176,121.57,纺织服饰,False,大型民企
55,002984,森麒麟,30.09,合理偏低,4.14,8.41,13.14,1.09,24.9374402241,147.77,汽车,False,大型民企
58,300144,宋城演艺,21.14,合理偏低,4.2,9.89,18.98,2.14,13.1582785885,155.23,社会服务,False,大型民企
51,301109,军信股份,38.16,合理偏低,4.96,9.4,14.5,1.4,34.5338474554,103.92,环保,False,大型民企
3,600011,华能国际,77.81,低估,5.94,19.04,7.33,1.64,65.2628937599,1056.48,公用事业,True,央企子公司
49,600012,皖通高速,39.84,合理偏低,4.03,14.01,14.92,2.1,53.2856130545,280.04,交通运输,True,地方国有企业
